name,desc,img,url
 ABOMEY,"L'intraitable cité des conquérants ou ""l'empire romain"" du golfe de guinée",https://www.gouv.bj/actualite/1018/destination-benin---abomey-intraitable-cite-conquerants-%22l-empire-romain%22-golfe-guinee/,https://www.gouv.bj/upload/thumbnails/articles/0696068001606673294.jpeg
 ABOMEY-CALAVI,"Au cœur de la plus grande cité estudiantine du Bénin, symbole des projets pharaoniques du gouvernement.",https://www.gouv.bj/actualite/1064/destination-benin---abomey-calavi-coeur-plus-grande-cite-estudiantine-benin--symbole-projets-pharaoniques-gouvernement./,https://www.gouv.bj/upload/thumbnails/articles/0820303001607707404.jpeg
 ADJA-OUERE,Terre de mixage culturel,https://www.gouv.bj/actualite/1031/destination-benin---adja-ouere--terre-mixage-culturel/,https://www.gouv.bj/upload/thumbnails/articles/0424750001606930389.jpeg
 ADJARRA,"Cité des tambours, commune d'origine des taxis-kannan, ancêtres des zémidjan.",https://www.gouv.bj/actualite/1041/destination-benin---adjarra--cite-tambours--commune-origine-taxis-kannan--ancetres-zemidjan./,https://www.gouv.bj/upload/thumbnails/articles/0178437001607155527.jpeg
 ADJOHOUN,Vivier culturel et cultuel au cœur de l’Ouémé,https://www.gouv.bj/actualite/1136/destination-benin---adjohoun--vivier-culturel-cultuel-coeur-oueme/,https://www.gouv.bj/upload/thumbnails/articles/0741393001610731829.jpeg
 AGBANGNIZOUN,Terre bénie des antilopes.,https://www.gouv.bj/actualite/1014/destination-benin---agbangnizoun--terre-benie-antilopes./,https://www.gouv.bj/upload/thumbnails/articles/0051388001606573559.jpeg
 AGUEGUES,Agréable expression des maisons sur pilotis,https://www.gouv.bj/actualite/1134/destination-benin---aguegues--agreable-expression-maisons-pilotis/,https://www.gouv.bj/upload/thumbnails/articles/0920155001610705091.jpeg
 AKPRO-MISSERETE,L’ode à une diversité vivifiante !,https://www.gouv.bj/actualite/1129/destination-benin---akpro-misserete-diversite-vivifiante--/,https://www.gouv.bj/upload/thumbnails/articles/0226711001610635822.jpeg
 ALLADA,"La cité d'Adjahouto, des origines à la modernité.",https://www.gouv.bj/actualite/1051/destination-benin---allada-cite-adjahouto-origines-modernite./,https://www.gouv.bj/upload/thumbnails/articles/0737328001607412722.jpeg
 APLAHOUE,"Cœur administratif du département du Couffo, commune aux innombrables potentialités économiques.",https://www.gouv.bj/actualite/993/destination-benin---aplahoue--coeur-administratif-departement-couffo--commune-innombrables-potentialites-economiques./,https://www.gouv.bj/upload/thumbnails/articles/0293889001606217852.png
 ATHIEME,"Cité des bois blancs, première productrice de crin-crin au Bénin",https://www.gouv.bj/actualite/1000/destination-benin---athieme-cite-bois-blancs--premiere-productrice-crin-crin-benin./,https://www.gouv.bj/upload/thumbnails/articles/0738785001606326727.jpeg
 AVRANKOU,Promesse d'un boom des industries touristiques et minières pour le Bénin.,https://www.gouv.bj/actualite/1038/destination-benin---avrankou---promesse-boom-industries-touristiques-minieres-benin./,https://www.gouv.bj/upload/thumbnails/articles/0010958001607111220.jpeg
 BANIKOARA,Cœur de l'or blanc béninois,https://www.gouv.bj/actualite/953/destination-benin---banikoara--coeur-blanc-beninois./,https://www.gouv.bj/upload/thumbnails/articles/0098280001605415018.jpeg
 BANTE,"Bienvenue au cœur du pays Isha, cité des pactes de terre !",https://www.gouv.bj/actualite/975/destination-benin---bienvenue-bante---coeur-pays-isha--cite-pactes-terre--/,https://www.gouv.bj/upload/thumbnails/articles/0071367001605863538.jpeg
 BASSILA,Une commune à Hauteur de taille,https://www.gouv.bj/actualite/965/destination-benin---bassila-hauteur-taille/,https://www.gouv.bj/upload/thumbnails/articles/0116753001605632348.jpeg
 BEMBEREKE,"La cité des Wèwèré boun,",https://www.gouv.bj/actualite/947/destination-benin---bembereke-cite-wewere-boun-/,https://www.gouv.bj/upload/thumbnails/articles/0473786001605348171.jpeg
 BOHICON,L'histoire du marché aux moutons devenu quatrième pôle économique du Bénin,https://www.gouv.bj/actualite/1050/destination-benin---bohicon-histoire-marche-moutons-devenu-quatrieme-pole-economique-benin/,https://www.gouv.bj/upload/thumbnails/articles/0156910001607360126.jpeg
 BONOU,"Mine touristique et cultuelle en pays wémè, au cœur de l'univers des forêts et des singes à ventre roux",https://www.gouv.bj/actualite/1135/destination-benin---bonou--mine-touristique-cultuelle-pays-weme-coeur-univers-forets-singes-ventre-roux/,https://www.gouv.bj/upload/thumbnails/articles/0467622001610721831.jpeg
 BOPA,La cité de l'or bleu,https://www.gouv.bj/actualite/1002/destination-benin---bopa-cite-bleu/,https://www.gouv.bj/upload/thumbnails/articles/0823171001606417159.jpeg
 BOUKOUMBE,"Cité des tatas, mine touristique au cœur de l'Atacora",https://www.gouv.bj/actualite/963/destination-benin---boukoumbe--cite-tatas--mine-touristique-coeur-atacora./,https://www.gouv.bj/upload/thumbnails/articles/0611349001605591515.jpeg
 COBLY,Discrète mais imposante par son relief et sa végétation,https://www.gouv.bj/actualite/962/destination-benin---cobly---discrete-mais-imposante-relief-vegetation/,https://www.gouv.bj/upload/thumbnails/articles/0962811001605596512.jpeg
 COME,Capitale sportive et culturelle du département du Mono,https://www.gouv.bj/actualite/1005/destination-benin---come---capitale-sportive-culturelle-departement-mono--/,https://www.gouv.bj/upload/thumbnails/articles/0995153001606460216.jpeg
 COPARGO,Au cœur de l'envoûtant décor de la cité des Yoas au pied du mont Tanéka,https://www.gouv.bj/actualite/1125/destination-benin---copargo-coeur-envoutant-decor-cite-yoas-pied-mont-taneka./,https://www.gouv.bj/upload/thumbnails/articles/0820656001610467921.jpeg
 COTONOU,"Poumon économique, pôle cosmopolite et vitrine du Bénin",https://www.gouv.bj/actualite/1066/destination-benin---cotonou--poumon-economique--pole-cosmopolite-vitrine-benin/,https://www.gouv.bj/upload/thumbnails/articles/0167603001607780384.jpeg
 COVE,Terre de mythes de cultes et de masques,https://www.gouv.bj/actualite/1021/destination-benin---cove--terre-mythes-cultes-masques/,https://www.gouv.bj/upload/thumbnails/articles/0713576001606803612.png
